label_g_teacher_salary_growth	label_g_teacher_salary_growth_2	total_column_o_projected_register	total_column_q_register_change	label_s_fair_student_funding_register_formula	weighted_register	calculation_j_foundation	total_column_n_fy14_actual_registers	system_wide_teacher_salary_growth	foundation	label_w_final_school_fsf_percent	label_h_foundation_for_new_schools	label_f_register_change_allocation_based_on_school_s_percent_of_formula	label_j_fy15_fair_student_formula_at_100	total_column_p_projected_formula	fiscal_year	label_t_change_to_preliminary_fair_student_funding_percentage_capped_at_100	total_column_r_register_dollar_change	calculation_j_fsf_formula_at_100	location	label_a_fy14_revised_based_allocations	label_d_initial_fair_student_funding_allocations_total	calculation_j_initial_fair_student_funding_allocations_total
0.00	0.00	940.88	55.24	227734.74	940.88	225000.00	885.64	0.00	225000.00	0.8369	0.00	190593.23	4103822.53	3878822.53	2015	0.8369	227734.74	4103822.53	K029	3280628.00	3471221.23	3471221.23
0.00	0.00	835.20	151.33	623856.22	835.2	225000.00	683.87	0.00	225000.00	0.9414	0.00	587292.75	3668141.90	3443141.90	2015	0.9414	623856.22	3668141.90	K030	2879051.00	3466343.75	3466343.75
0.00	0.00	641.29	-6.87	-28315.71	641.29	225000.00	648.15	0.00	225000.00	0.81	0.00	-22935.72	2868730.23	2643730.23	2015	0.81	-28315.71	2868730.23	K031	2389357.00	2366421.28	2366421.28
0.00	0.00	536.58	49.26	203066.96	536.58	225000.00	487.32	0.00	225000.00	0.9942	0.00	201891.32	2437076.10	2212076.10	2015	0.9942	203066.96	2437076.10	K032	2222378.00	2424269.32	2424269.32
0.00	0.00	637.63	-0.13	-551.95	637.63	225000.00	637.77	0.00	225000.00	0.8213	0.00	-453.33	2853667.28	2628667.28	2015	0.8213	-551.95	2853667.28	K034	2384466.00	2384012.67	2384012.67
0.00	0.00	325.21	0.84	3469.15	325.21	225000.00	324.36	0.00	225000.00	0.8131	0.00	2820.83	1565675.94	1340675.94	2015	0.8131	3469.15	1565675.94	K035	1312309.00	1315129.83	1315129.83
0.00	0.00	589.04	1.62	6694.13	589.04	225000.00	587.42	0.00	225000.00	0.894	0.00	5984.22	2653351.39	2428351.39	2015	0.894	6694.13	2653351.39	K038	2389842.00	2395826.22	2395826.22
0.00	0.00	433.52	14.33	59062.25	433.52	225000.00	419.20	0.00	225000.00	0.8587	0.00	50717.89	2012223.21	1787223.21	2015	0.8587	59062.25	2012223.21	K039	1709005.00	1759722.89	1759722.89
0.00	0.00	413.04	26.29	108381.51	413.04	225000.00	386.75	0.00	225000.00	0.8124	0.00	88045.95	1927774.32	1702774.32	2015	0.8124	108381.51	1927774.32	K040	1520238.00	1608283.95	1608283.95
0.00	0.00	750.79	-53.53	-220688.86	750.79	225000.00	804.33	0.00	225000.00	0.848	0.00	-187139.82	3320179.06	3095179.06	2015	0.848	-220688.86	3320179.06	K041	3036791.00	2849651.18	2849651.18
0.00	0.00	330.11	-23.84	-98301.51	330.11	225000.00	353.96	0.00	225000.00	0.8315	0.00	-81739.48	1585899.03	1360899.03	2015	0.8315	-98301.51	1585899.03	K044	1438352.00	1356612.52	1356612.52
0.00	0.00	1069.97	7.84	32302.91	1069.97	225000.00	1062.14	0.00	225000.00	0.8953	0.00	28920.79	4636011.99	4411011.99	2015	0.8953	32302.91	4636011.99	K045	4145257.00	4174177.79	4174177.79
0.00	0.00	501.84	5.31	21881.56	501.84	225000.00	496.53	0.00	225000.00	0.8658	0.00	18944.07	2293844.45	2068844.45	2015	0.8658	21881.56	2293844.45	K046	1997169.00	2016113.07	2016113.07
0.00	0.00	770.57	-19.04	-78480.79	770.57	225000.00	789.61	0.00	225000.00	0.8337	0.00	-65430.18	3401708.31	3176708.31	2015	0.8337	-78480.79	3401708.31	K048	2938882.00	2873451.82	2873451.82
0.00	0.00	502.77	-60.65	-250014.79	502.77	225000.00	563.41	0.00	225000.00	0.81	0.00	-202511.89	2297674.76	2072674.76	2015	0.81	-250014.79	2297674.76	K050	2106378.00	1903866.11	1903866.11
0.00	0.00	1504.18	40.28	166068.44	1504.18	225000.00	1463.90	0.00	225000.00	0.8802	0.00	146181.20	6426059.13	6201059.13	2015	0.8802	166068.44	6426059.13	K051	5537281.00	5683462.20	5683462.20
0.00	0.00	1023.07	14.34	59116.78	1023.07	225000.00	1008.73	0.00	225000.00	0.882	0.00	52139.09	4442665.45	4217665.45	2015	0.882	59116.78	4442665.45	K052	3892706.00	3944845.09	3944845.09
0.00	0.00	299.83	-24.08	-99263.48	299.83	225000.00	323.91	0.00	225000.00	0.9286	0.00	-92177.26	1461073.84	1236073.84	2015	0.9286	-99263.48	1461073.84	K054	1465010.00	1372832.74	1372832.74
0.00	0.00	308.01	5.83	24054.28	308.01	225000.00	302.17	0.00	225000.00	0.8497	0.00	20439.30	1494773.67	1269773.67	2015	0.8497	24054.28	1494773.67	K056	1283507.00	1303946.30	1303946.30
0.00	0.00	300.39	-31.78	-131016.17	300.39	225000.00	332.17	0.00	225000.00	0.81	0.00	-106123.08	1463366.61	1238366.61	2015	0.81	-131016.17	1463366.61	K057	1334200.00	1228076.92	1228076.92
0.00	0.00	1065.62	-5.68	-23396.13	1065.62	225000.00	1071.29	0.00	225000.00	0.8967	0.00	-20980.46	4618047.40	4393047.40	2015	0.8967	-23396.13	4618047.40	K058	4185442.00	4164461.54	4164461.54
0.00	0.00	423.91	-31.04	-127968.13	423.91	225000.00	454.95	0.00	225000.00	0.8568	0.00	-109640.73	1972572.13	1747572.13	2015	0.8568	-127968.13	1972572.13	K059	1831928.00	1722287.27	1722287.27
0.00	0.00	991.23	-117.37	-483851.25	991.23	225000.00	1108.59	0.00	225000.00	0.81	0.00	-391919.50	4311374.82	4086374.82	2015	0.81	-483851.25	4311374.82	K061	3926883.00	3534963.50	3534963.50
0.00	0.00	2042.84	-74.00	-305075.08	2042.84	225000.00	2116.84	0.00	225000.00	0.8185	0.00	-249701.88	8646700.73	8421700.73	2015	0.8185	-305075.08	8646700.73	K062	7367807.00	7118105.12	7118105.12
