label_g_teacher_salary_growth	label_g_teacher_salary_growth_2	total_column_o_projected_register	total_column_q_register_change	label_s_fair_student_funding_register_formula	weighted_register	calculation_j_foundation	total_column_n_fy14_actual_registers	system_wide_teacher_salary_growth	foundation	label_w_final_school_fsf_percent	label_h_foundation_for_new_schools	label_f_register_change_allocation_based_on_school_s_percent_of_formula	label_j_fy15_fair_student_formula_at_100	total_column_p_projected_formula	fiscal_year	label_t_change_to_preliminary_fair_student_funding_percentage_capped_at_100	total_column_r_register_dollar_change	calculation_j_fsf_formula_at_100	location	label_a_fy14_revised_based_allocations	label_d_initial_fair_student_funding_allocations_total	calculation_j_initial_fair_student_funding_allocations_total
0.00	0.00	1325.82	-0.94	-3871.86	1325.82	225000.00	1326.76	0.00	225000.00	0.81	0.00	-3136.21	5690748.68	5465748.68	2015	0.81	-3871.86	5690748.68	K139	4655392.00	4652255.79	4652255.79
0.00	0.00	1057.99	-31.42	-129545.29	1057.99	225000.00	1089.41	0.00	225000.00	0.81	0.00	-104931.70	4586609.45	4361609.45	2015	0.81	-129545.29	4586609.45	K145	3862836.00	3757904.30	3757904.30
0.00	0.00	850.57	-21.00	-86565.48	850.57	225000.00	871.57	0.00	225000.00	0.8927	0.00	-77275.20	3731521.94	3506521.94	2015	0.8927	-86565.48	3731521.94	K146	3432474.00	3355198.80	3355198.80
0.00	0.00	377.72	35.46	146203.72	377.72	225000.00	342.26	0.00	225000.00	1.0885	0.00	146203.72	1782185.49	1557185.49	2015	1	146203.72	1782185.49	K147	1773796.00	1919999.72	1919999.72
0.00	0.00	838.85	-22.02	-90778.80	838.85	225000.00	860.87	0.00	225000.00	0.8257	0.00	-74958.80	3683190.15	3458190.15	2015	0.8257	-90778.80	3683190.15	K149	3155491.00	3080532.20	3080532.20
0.00	0.00	266.64	-46.57	-191985.66	266.64	225000.00	313.21	0.00	225000.00	0.8289	0.00	-159131.36	1324250.98	1099250.98	2015	0.8289	-191985.66	1324250.98	K150	1295269.00	1136137.64	1136137.64
0.00	0.00	518.71	-47.99	-197831.20	518.71	225000.00	566.70	0.00	225000.00	0.81	0.00	-160243.28	2363416.75	2138416.75	2015	0.81	-197831.20	2363416.75	K151	2117361.00	1957117.72	1957117.72
0.00	0.00	1168.12	27.71	114245.64	1168.12	225000.00	1140.41	0.00	225000.00	0.8344	0.00	95323.38	5040621.60	4815621.60	2015	0.8344	114245.64	5040621.60	K152	4147697.00	4243020.38	4243020.38
0.00	0.00	650.69	-31.18	-128531.27	650.69	225000.00	681.87	0.00	225000.00	0.8619	0.00	-110778.78	2907505.68	2682505.68	2015	0.8619	-128531.27	2907505.68	K153	2647782.00	2537003.22	2537003.22
0.00	0.00	678.27	15.75	64932.02	678.27	225000.00	662.52	0.00	225000.00	0.9105	0.00	59119.55	3021181.00	2796181.00	2015	0.9105	64932.02	3021181.00	K154	2711758.00	2770877.55	2770877.55
0.00	0.00	649.14	7.07	29160.56	649.14	225000.00	642.06	0.00	225000.00	0.8155	0.00	23781.42	2901101.46	2676101.46	2015	0.8155	29160.56	2901101.46	K155	2383670.00	2407451.42	2407451.42
0.00	0.00	989.39	27.18	112070.83	989.39	225000.00	962.20	0.00	225000.00	0.812	0.00	90997.20	4303791.91	4078791.91	2015	0.812	112070.83	4303791.91	K156	3445825.00	3536822.20	3536822.20
0.00	0.00	779.36	-10.37	-42737.76	779.36	225000.00	789.72	0.00	225000.00	0.9254	0.00	-39550.29	3437929.24	3212929.24	2015	0.9254	-42737.76	3437929.24	K157	3237853.00	3198302.71	3198302.71
0.00	0.00	680.18	4.04	16655.83	680.18	225000.00	676.14	0.00	225000.00	0.8788	0.00	14636.42	3029074.90	2804074.90	2015	0.8788	16655.83	3029074.90	K158	2674462.00	2689098.42	2689098.42
0.00	0.00	1055.25	-36.86	-151946.42	1055.25	225000.00	1092.11	0.00	225000.00	0.812	0.00	-123380.49	4575328.43	4350328.43	2015	0.812	-151946.42	4575328.43	K159	3880847.00	3757466.51	3757466.51
0.00	0.00	1905.72	127.60	526039.87	1905.72	225000.00	1778.12	0.00	225000.00	0.8485	0.00	446357.01	8081413.77	7856413.77	2015	0.8485	526039.87	8081413.77	K160	6444992.00	6891349.01	6891349.01
0.00	0.00	544.77	-145.60	-600259.02	544.77	225000.00	690.38	0.00	225000.00	0.8226	0.00	-493771.13	2470855.74	2245855.74	2015	0.8226	-600259.02	2470855.74	K161	2566205.00	2072433.87	2072433.87
0.00	0.00	751.38	-54.62	-225185.80	751.38	225000.00	806.00	0.00	225000.00	0.81	0.00	-182400.43	3322597.92	3097597.92	2015	0.81	-225185.80	3322597.92	K162	2916454.00	2734053.57	2734053.57
0.00	0.00	862.83	-33.81	-139362.93	862.83	225000.00	896.64	0.00	225000.00	0.9272	0.00	-129215.11	3782060.39	3557060.39	2015	0.9272	-139362.93	3782060.39	K163	3652265.00	3523049.89	3523049.89
0.00	0.00	704.16	-13.38	-55152.24	704.16	225000.00	717.54	0.00	225000.00	0.8544	0.00	-47123.19	3127928.44	2902928.44	2015	0.8544	-55152.24	3127928.44	K164	2752444.00	2705320.81	2705320.81
0.00	0.00	515.77	-110.17	-454190.55	515.77	225000.00	625.94	0.00	225000.00	0.8579	0.00	-389645.06	2351270.86	2126270.86	2015	0.8579	-454190.55	2351270.86	K165	2438749.00	2049103.94	2049103.94
0.00	0.00	205.01	-226.45	-933534.33	205.01	225000.00	431.46	0.00	225000.00	0.81	0.00	-756162.53	1070178.52	845178.52	2015	0.81	-933534.33	1070178.52	K166	1665757.00	909594.47	909594.47
0.00	0.00	129.77	-116.95	-482114.85	129.77	225000.00	246.71	0.00	225000.00	0.8579	0.00	-413602.63	759965.82	534965.82	2015	0.8579	-482114.85	759965.82	K167	1097546.00	683943.37	683943.37
0.00	0.00	383.83	104.26	429807.02	383.83	225000.00	279.57	0.00	225000.00	0.9704	0.00	417086.59	1807340.14	1582340.14	2015	0.9704	429807.02	1807340.14	K168	1343423.00	1760509.59	1760509.59
0.00	0.00	2382.62	36.13	148946.29	2382.62	225000.00	2346.49	0.00	225000.00	0.8254	0.00	122947.43	10047473.09	9822473.09	2015	0.8254	148946.29	10047473.09	K169	8209994.00	8332941.43	8332941.43
0.00	0.00	1322.65	33.94	139926.48	1322.65	225000.00	1288.71	0.00	225000.00	0.8158	0.00	114149.56	5677680.47	5452680.47	2015	0.8158	139926.48	5677680.47	K170	4559051.00	4673200.56	4673200.56
0.00	0.00	1020.81	-162.81	-671197.75	1020.81	225000.00	1183.62	0.00	225000.00	0.8108	0.00	-544209.76	4433332.04	4208332.04	2015	0.8108	-671197.75	4433332.04	K171	4181342.00	3637132.24	3637132.24
0.00	0.00	860.60	-9.99	-41174.93	860.6	225000.00	870.59	0.00	225000.00	0.8194	0.00	-33739.55	3772879.79	3547879.79	2015	0.8194	-41174.93	3772879.79	K172	3165943.00	3132203.45	3132203.45
0.00	0.00	170.83	-174.94	-721191.51	170.83	225000.00	345.77	0.00	225000.00	1.0112	0.00	-721192.01	929262.92	704262.92	2015	1	-721191.51	929262.92	K174	1658359.00	937166.99	937166.99
0.00	0.00	1809.22	1.77	7280.24	1809.22	225000.00	1807.46	0.00	225000.00	0.8248	0.00	6004.77	7683598.67	7458598.67	2015	0.8248	7280.24	7683598.67	K176	6370881.00	6376885.77	6376885.77
0.00	0.00	1250.23	21.43	88347.61	1250.23	225000.00	1228.80	0.00	225000.00	0.8945	0.00	79022.95	5379150.44	5154150.44	2015	0.8945	88347.61	5379150.44	K177	4756132.00	4835154.95	4835154.95
0.00	0.00	534.15	-48.29	-199083.71	534.15	225000.00	582.44	0.00	225000.00	0.81	0.00	-161257.79	2427057.56	2202057.56	2015	0.81	-199083.71	2427057.56	K178	2169924.00	2008666.21	2008666.21
0.00	0.00	1376.37	17.81	73414.03	1376.37	225000.00	1358.56	0.00	225000.00	0.8143	0.00	59779.01	5899127.65	5674127.65	2015	0.8143	73414.03	5899127.65	K179	4785506.00	4845285.01	4845285.01
0.00	0.00	1556.66	1.57	6458.72	1556.66	225000.00	1555.09	0.00	225000.00	0.9543	0.00	6163.35	6642398.53	6417398.53	2015	0.9543	6458.72	6642398.53	K180	6342763.00	6348926.35	6348926.35
0.00	0.00	1305.62	-22.87	-94264.83	1305.62	225000.00	1328.49	0.00	225000.00	0.8357	0.00	-78773.32	5607486.31	5382486.31	2015	0.8357	-94264.83	5607486.31	K181	4801700.00	4722926.68	4722926.68
0.00	0.00	662.14	-17.94	-73949.53	662.14	225000.00	680.08	0.00	225000.00	0.81	0.00	-59899.13	2954714.41	2729714.41	2015	0.81	-73949.53	2954714.41	K184	2495968.00	2436068.87	2436068.87
0.00	0.00	842.54	-23.07	-95090.02	842.54	225000.00	865.60	0.00	225000.00	0.8776	0.00	-83447.48	3698390.17	3473390.17	2015	0.8776	-95090.02	3698390.17	K185	3356566.00	3273118.52	3273118.52
0.00	0.00	1276.80	18.38	75761.94	1276.8	225000.00	1258.42	0.00	225000.00	0.8201	0.00	62129.76	5488661.21	5263661.21	2015	0.8201	75761.94	5488661.21	K186	4479417.00	4541546.76	4541546.76
0.00	0.00	1248.82	104.03	428857.25	1248.82	225000.00	1144.79	0.00	225000.00	1.0466	0.00	428857.25	5373311.41	5148311.41	2015	1	428857.25	5373311.41	K187	5184304.00	5613161.25	5613161.25
0.00	0.00	619.14	-134.05	-552624.20	619.14	225000.00	753.19	0.00	225000.00	0.8607	0.00	-475651.74	2777425.35	2552425.35	2015	0.8607	-552624.20	2777425.35	K188	2897562.00	2421910.26	2421910.26
0.00	0.00	1523.87	-35.21	-145175.21	1523.87	225000.00	1559.09	0.00	225000.00	0.8213	0.00	-119235.64	6507243.16	6282243.16	2015	0.8213	-145175.21	6507243.16	K189	5503982.00	5384746.36	5384746.36
0.00	0.00	209.73	-15.70	-64718.46	209.73	225000.00	225.43	0.00	225000.00	1.111	0.00	-64718.46	1089610.04	864610.04	2015	1	-64718.46	1089610.04	K190	1250305.00	1185586.54	1185586.54
0.00	0.00	260.33	-7.13	-29392.17	260.33	225000.00	267.46	0.00	225000.00	0.8687	0.00	-25532.75	1298223.84	1073223.84	2015	0.8687	-29392.17	1298223.84	K191	1182834.00	1157301.25	1157301.25
0.00	0.00	860.51	-33.81	-139396.78	860.51	225000.00	894.32	0.00	225000.00	0.8787	0.00	-122487.55	3772472.62	3547472.62	2015	0.8787	-139396.78	3772472.62	K192	3464641.00	3342153.45	3342153.45
0.00	0.00	1140.44	-7.13	-29376.84	1140.44	225000.00	1147.57	0.00	225000.00	0.81	0.00	-23795.24	4926530.41	4701530.41	2015	0.81	-29376.84	4926530.41	K193	4057035.00	4033239.76	4033239.76
0.00	0.00	592.52	1.92	7931.24	592.52	225000.00	590.60	0.00	225000.00	0.8485	0.00	6729.92	2667686.56	2442686.56	2015	0.8485	7931.24	2667686.56	K194	2290972.00	2297701.92	2297701.92
0.00	0.00	490.48	17.56	72408.53	490.48	225000.00	472.92	0.00	225000.00	0.8135	0.00	58901.14	2247033.93	2022033.93	2015	0.8135	72408.53	2247033.93	K195	1810934.00	1869835.14	1869835.14
0.00	0.00	438.94	-43.32	-178577.64	438.94	225000.00	482.26	0.00	225000.00	0.8702	0.00	-155396.33	2034569.69	1809569.69	2015	0.8702	-178577.64	2034569.69	K196	1955064.00	1799667.67	1799667.67
0.00	0.00	733.47	18.21	75073.14	733.47	225000.00	715.26	0.00	225000.00	0.9077	0.00	68146.51	3248748.87	3023748.87	2015	0.9077	75073.14	3248748.87	K197	2901616.00	2969762.51	2969762.51
0.00	0.00	589.37	-27.82	-114682.81	589.37	225000.00	617.19	0.00	225000.00	0.8734	0.00	-100161.52	2654713.94	2429713.94	2015	0.8734	-114682.81	2654713.94	K198	2447222.00	2347060.48	2347060.48
0.00	0.00	584.03	-36.68	-151220.67	584.03	225000.00	620.71	0.00	225000.00	1.0423	0.00	-151220.73	2632691.53	2407691.53	2015	1	-151220.67	2632691.53	K199	2885731.00	2734510.27	2734510.27
0.00	0.00	1655.72	42.85	176656.31	1655.72	225000.00	1612.87	0.00	225000.00	0.8214	0.00	145102.44	7050773.55	6825773.55	2015	0.8214	176656.31	7050773.55	K200	5686470.00	5831572.44	5831572.44
0.00	0.00	1811.82	-115.18	-474832.61	1811.82	225000.00	1927.00	0.00	225000.00	0.81	0.00	-384614.43	7694295.48	7469295.48	2015	0.81	-474832.61	7694295.48	K201	6659744.00	6275129.57	6275129.57
0.00	0.00	693.83	-156.93	-646967.34	693.83	225000.00	850.77	0.00	225000.00	0.81	0.00	-524043.57	3085359.48	2860359.48	2015	0.81	-646967.34	3085359.48	K202	3065935.00	2541891.43	2541891.43
0.00	0.00	898.36	-61.40	-253129.35	898.36	225000.00	959.76	0.00	225000.00	0.81	0.00	-205034.80	3928531.14	3703531.14	2015	0.81	-253129.35	3928531.14	K203	3429895.00	3224860.20	3224860.20
0.00	0.00	1447.27	57.59	237435.93	1447.27	225000.00	1389.67	0.00	225000.00	0.9216	0.00	218822.85	6191424.72	5966424.72	2015	0.9216	237435.93	6191424.72	K204	5504882.00	5723704.85	5723704.85
0.00	0.00	1446.23	43.01	177327.83	1446.23	225000.00	1403.22	0.00	225000.00	0.8797	0.00	155992.82	6187152.13	5962152.13	2015	0.8797	177327.83	6187152.13	K205	5313829.00	5469821.82	5469821.82
0.00	0.00	1732.33	25.34	104447.41	1732.33	225000.00	1706.99	0.00	225000.00	0.8346	0.00	87170.40	7366606.91	7141606.91	2015	0.8346	104447.41	7366606.91	K206	6098119.00	6185289.40	6185289.40
0.00	0.00	1637.87	57.60	237475.69	1637.87	225000.00	1580.26	0.00	225000.00	0.8842	0.00	209980.71	6977174.12	6752174.12	2015	0.8842	237475.69	6977174.12	K207	5985425.00	6195405.71	6195405.71
0.00	0.00	571.22	12.54	51701.77	571.22	225000.00	558.68	0.00	225000.00	0.81	0.00	41878.44	2579871.53	2354871.53	2015	0.81	51701.77	2579871.53	K208	2090568.00	2132446.44	2132446.44
0.00	0.00	1006.71	6.34	26143.43	1006.71	225000.00	1000.37	0.00	225000.00	0.872	0.00	22796.80	4375216.40	4150216.40	2015	0.872	26143.43	4375216.40	K209	3821148.00	3843944.80	3843944.80
0.00	0.00	1048.85	-23.22	-95729.80	1048.85	225000.00	1072.07	0.00	225000.00	0.81	0.00	-77541.15	4548929.29	4323929.29	2015	0.81	-95729.80	4548929.29	K211	3804924.00	3727382.85	3727382.85
0.00	0.00	870.90	-9.00	-37115.24	870.9	225000.00	879.90	0.00	225000.00	0.9495	0.00	-35240.43	3815312.70	3590312.70	2015	0.9495	-37115.24	3815312.70	K212	3669195.00	3633954.57	3633954.57
0.00	0.00	541.88	-25.46	-104971.57	541.88	225000.00	567.35	0.00	225000.00	0.8549	0.00	-89744.72	2458945.47	2233945.47	2015	0.8549	-104971.57	2458945.47	K213	2224641.00	2134896.28	2134896.28
0.00	0.00	1134.60	-66.08	-272418.95	1134.6	225000.00	1200.68	0.00	225000.00	0.81	0.00	-220659.34	4902422.09	4677422.09	2015	0.81	-272418.95	4902422.09	K214	4234371.00	4013711.66	4013711.66
0.00	0.00	1129.68	60.78	250553.08	1129.68	225000.00	1068.91	0.00	225000.00	0.9298	0.00	232972.84	4882175.38	4657175.38	2015	0.9298	250553.08	4882175.38	K215	4322428.00	4555400.84	4555400.84
0.00	0.00	687.63	-0.68	-2823.85	687.63	225000.00	688.32	0.00	225000.00	0.845	0.00	-2386.09	3059790.71	2834790.71	2015	0.845	-2823.85	3059790.71	K216	2622721.00	2620334.91	2620334.91
0.00	0.00	1664.33	-15.22	-62761.05	1664.33	225000.00	1679.56	0.00	225000.00	0.8167	0.00	-51255.06	7086285.61	6861285.61	2015	0.8167	-62761.05	7086285.61	K217	5879661.00	5828405.94	5828405.94
0.00	0.00	747.33	-57.15	-235600.68	747.33	225000.00	804.48	0.00	225000.00	0.81	0.00	-190836.52	3305912.41	3080912.41	2015	0.81	-235600.68	3305912.41	K218	2911375.00	2720538.48	2720538.48
0.00	0.00	653.93	-53.95	-222415.95	653.93	225000.00	707.88	0.00	225000.00	0.8556	0.00	-190297.02	2920859.42	2695859.42	2015	0.8556	-222415.95	2920859.42	K219	2721849.00	2531551.98	2531551.98
0.00	0.00	2243.62	20.59	84881.58	2243.62	225000.00	2223.03	0.00	225000.00	0.8189	0.00	69512.63	9474419.58	9249419.58	2015	0.8189	84881.58	9474419.58	K220	7730175.00	7799687.63	7799687.63
0.00	0.00	494.53	-72.90	-300535.54	494.53	225000.00	567.43	0.00	225000.00	0.9282	0.00	-278942.57	2263740.79	2038740.79	2015	0.9282	-300535.54	2263740.79	K221	2396203.00	2117260.43	2117260.43
0.00	0.00	1062.55	10.13	41756.24	1062.55	225000.00	1052.42	0.00	225000.00	0.8815	0.00	36807.57	4605414.67	4380414.67	2015	0.8815	41756.24	4605414.67	K222	4049469.00	4086276.57	4086276.57
0.00	0.00	1474.29	2.00	8257.54	1474.29	225000.00	1472.29	0.00	225000.00	0.9281	0.00	7663.66	6302843.99	6077843.99	2015	0.9281	8257.54	6302843.99	K223	5858059.00	5865722.66	5865722.66
0.00	0.00	700.80	-42.01	-173183.09	700.8	225000.00	742.81	0.00	225000.00	0.8137	0.00	-140913.73	3114073.81	2889073.81	2015	0.8137	-173183.09	3114073.81	K224	2716664.00	2575750.27	2575750.27
0.00	0.00	1394.15	-8.22	-33872.22	1394.15	225000.00	1402.37	0.00	225000.00	0.8586	0.00	-29081.78	5972466.46	5747466.46	2015	0.8586	-33872.22	5972466.46	K225	5188702.00	5159620.22	5159620.22
0.00	0.00	1357.98	32.16	132579.14	1357.98	225000.00	1325.82	0.00	225000.00	0.8412	0.00	111519.69	5823344.00	5598344.00	2015	0.8412	132579.14	5823344.00	K226	4822559.00	4934078.69	4934078.69
0.00	0.00	1890.45	-152.65	-629303.19	1890.45	225000.00	2043.10	0.00	225000.00	0.81	0.00	-509735.61	8018482.80	7793482.80	2015	0.81	-629303.19	8018482.80	K227	7047457.00	6537721.39	6537721.39
0.00	0.00	1725.79	184.46	760442.56	1725.79	225000.00	1541.33	0.00	225000.00	0.8665	0.00	658911.07	7339655.01	7114655.01	2015	0.8665	760442.56	7339655.01	K228	5730821.00	6389732.07	6389732.07
0.00	0.00	1396.65	17.12	70586.34	1396.65	225000.00	1379.53	0.00	225000.00	0.9272	0.00	65447.33	5982760.21	5757760.21	2015	0.9272	70586.34	5982760.21	K229	5498122.00	5563569.33	5563569.33
0.00	0.00	1696.32	-81.80	-337209.19	1696.32	225000.00	1778.11	0.00	225000.00	0.8365	0.00	-282071.76	7218146.23	6993146.23	2015	0.8365	-337209.19	7218146.23	K230	6356761.00	6074689.24	6074689.24
0.00	0.00	617.68	-51.45	-212094.60	617.68	225000.00	669.13	0.00	225000.00	0.8215	0.00	-174242.29	2771412.34	2546412.34	2015	0.8215	-212094.60	2771412.34	K233	2491199.00	2316956.71	2316956.71
0.00	0.00	2518.00	114.30	471190.15	2518	225000.00	2403.70	0.00	225000.00	0.8406	0.00	396084.65	10605558.66	10380558.66	2015	0.8406	471190.15	10605558.66	K234	8554862.00	8950946.65	8950946.65
0.00	0.00	1381.05	-0.03	-135.97	1381.05	225000.00	1381.09	0.00	225000.00	0.9362	0.00	-127.30	5918453.92	5693453.92	2015	0.9362	-135.97	5918453.92	K235	5555508.00	5555380.70	5555380.70
0.00	0.00	609.39	-36.46	-150296.00	609.39	225000.00	645.85	0.00	225000.00	0.903	0.00	-135710.16	2737237.83	2512237.83	2015	0.903	-150296.00	2737237.83	K236	2629142.00	2493431.84	2493431.84
0.00	0.00	728.06	-25.64	-105709.60	728.06	225000.00	753.71	0.00	225000.00	1.0038	0.00	-105709.63	3226476.62	3001476.62	2015	1	-105709.60	3226476.62	K238	3343538.00	3237828.37	3237828.37
0.00	0.00	1645.14	100.08	412565.41	1645.14	225000.00	1545.06	0.00	225000.00	0.9121	0.00	376308.87	7007165.08	6782165.08	2015	0.9121	412565.41	7007165.08	K239	6034835.00	6411143.87	6411143.87
0.00	0.00	1321.46	-28.50	-117491.64	1321.46	225000.00	1349.96	0.00	225000.00	0.81	0.00	-95168.24	5672764.85	5447764.85	2015	0.81	-117491.64	5672764.85	K240	4732858.00	4637689.76	4637689.76
0.00	0.00	739.01	-19.26	-79385.19	739.01	225000.00	758.26	0.00	225000.00	0.8107	0.00	-64360.26	3271583.33	3046583.33	2015	0.8107	-79385.19	3271583.33	K241	2759329.00	2694968.74	2694968.74
0.00	0.00	325.69	-30.18	-124424.56	325.69	225000.00	355.87	0.00	225000.00	1.0223	0.00	-124424.56	1567668.55	1342668.55	2015	1	-124424.56	1567668.55	K243	1722094.00	1597669.44	1597669.44
0.00	0.00	828.48	-66.74	-275148.02	828.48	225000.00	895.22	0.00	225000.00	0.8117	0.00	-223340.67	3640428.35	3415428.35	2015	0.8117	-275148.02	3640428.35	K244	3220681.00	2997340.33	2997340.33
0.00	0.00	364.39	7.96	32800.94	364.39	225000.00	356.44	0.00	225000.00	0.848	0.00	27816.47	1727220.69	1502220.69	2015	0.848	32800.94	1727220.69	K245	1471125.00	1498941.47	1498941.47
0.00	0.00	960.05	-59.32	-244542.68	960.05	225000.00	1019.36	0.00	225000.00	0.869	0.00	-212508.02	4182834.74	3957834.74	2015	0.869	-244542.68	4182834.74	K246	3876873.00	3664364.98	3664364.98
0.00	0.00	1054.65	27.48	113292.54	1054.65	225000.00	1027.17	0.00	225000.00	0.8349	0.00	94586.73	4572859.28	4347859.28	2015	0.8349	113292.54	4572859.28	K247	3760395.00	3854981.73	3854981.73
0.00	0.00	1170.45	5.05	20806.80	1170.45	225000.00	1165.40	0.00	225000.00	0.8289	0.00	17246.08	5050217.88	4825217.88	2015	0.8289	20806.80	5050217.88	K249	4207219.00	4224465.08	4224465.08
0.00	0.00	910.60	2.36	9731.76	910.6	225000.00	908.24	0.00	225000.00	0.8366	0.00	8141.25	3978990.40	3753990.40	2015	0.8366	9731.76	3978990.40	K250	3357317.00	3365458.25	3365458.25
0.00	0.00	698.97	-32.87	-135516.63	698.97	225000.00	731.84	0.00	225000.00	0.86	0.00	-116547.81	3106526.17	2881526.17	2015	0.86	-135516.63	3106526.17	K251	2819735.00	2703187.19	2703187.19
0.00	0.00	1125.50	6.79	28007.22	1125.5	225000.00	1118.71	0.00	225000.00	0.9097	0.00	25478.92	4864944.40	4639944.40	2015	0.9097	28007.22	4864944.40	K253	4420603.00	4446081.92	4446081.92
0.00	0.00	841.15	38.51	158767.06	841.15	225000.00	802.64	0.00	225000.00	0.8389	0.00	133192.55	3692698.55	3467698.55	2015	0.8389	158767.06	3692698.55	K254	3000922.00	3134114.55	3134114.55
0.00	0.00	1058.69	-1.06	-4355.53	1058.69	225000.00	1059.74	0.00	225000.00	0.8687	0.00	-3783.43	4589487.53	4364487.53	2015	0.8687	-4355.53	4589487.53	K255	4019996.00	4016212.57	4016212.57
0.00	0.00	436.29	-7.59	-31307.63	436.29	225000.00	443.88	0.00	225000.00	0.8858	0.00	-27733.16	2023628.22	1798628.22	2015	0.8858	-31307.63	2023628.22	K256	1846008.00	1818274.84	1818274.84
0.00	0.00	876.26	14.62	60257.67	876.26	225000.00	861.64	0.00	225000.00	0.8148	0.00	49098.75	3837424.27	3612424.27	2015	0.8148	60257.67	3837424.27	K257	3119353.00	3168451.75	3168451.75
0.00	0.00	1912.32	-116.06	-478482.57	1912.32	225000.00	2028.38	0.00	225000.00	0.81	0.00	-387570.92	8108620.47	7883620.47	2015	0.81	-478482.57	8108620.47	K259	6998304.00	6610733.08	6610733.08
0.00	0.00	993.20	-14.73	-60737.25	993.2	225000.00	1007.94	0.00	225000.00	0.8212	0.00	-49877.96	4319532.27	4094532.27	2015	0.8212	-60737.25	4319532.27	K261	3637344.00	3587466.04	3587466.04
0.00	0.00	643.22	-16.95	-69866.77	643.22	225000.00	660.17	0.00	225000.00	0.8793	0.00	-61432.46	2876722.85	2651722.85	2015	0.8793	-69866.77	2876722.85	K262	2618040.00	2556607.54	2556607.54
0.00	0.00	511.43	52.00	214385.38	511.43	225000.00	459.42	0.00	225000.00	1.0072	0.00	214385.38	2333379.24	2108379.24	2015	1	214385.38	2333379.24	K264	2134107.00	2348492.38	2348492.38
0.00	0.00	729.65	-2.35	-9703.65	729.65	225000.00	732.00	0.00	225000.00	0.8125	0.00	-7884.28	3233018.57	3008018.57	2015	0.8125	-9703.65	3233018.57	K265	2676920.00	2669035.72	2669035.72
0.00	0.00	216.41	-7.69	-31705.62	216.41	225000.00	224.10	0.00	225000.00	0.81	0.00	-25681.56	1117158.12	892158.12	2015	0.81	-31705.62	1117158.12	K266	973330.00	947648.44	947648.44
0.00	0.00	445.96	-52.56	-216686.62	445.96	225000.00	498.52	0.00	225000.00	0.8933	0.00	-193559.75	2063488.39	1838488.39	2015	0.8933	-216686.62	2063488.39	K267	2060827.00	1867267.25	1867267.25
0.00	0.00	521.46	-35.11	-144748.50	521.46	225000.00	556.57	0.00	225000.00	0.8618	0.00	-124748.69	2374739.21	2149739.21	2015	0.8618	-144748.50	2374739.21	K268	2202460.00	2077711.31	2077711.31
0.00	0.00	559.65	-8.78	-36182.65	559.65	225000.00	568.42	0.00	225000.00	0.8534	0.00	-30877.62	2532172.16	2307172.16	2015	0.8534	-36182.65	2532172.16	K269	2224777.00	2193899.38	2193899.38
0.00	0.00	165.75	-32.87	-135513.66	165.75	225000.00	198.62	0.00	225000.00	0.9019	0.00	-122214.25	908300.55	683300.55	2015	0.9019	-135513.66	908300.55	K270	963455.00	841240.75	841240.75
0.00	0.00	673.01	-41.09	-169392.70	673.01	225000.00	714.10	0.00	225000.00	0.8138	0.00	-137858.97	2999506.75	2774506.75	2015	0.8138	-169392.70	2999506.75	K272	2620870.00	2483011.03	2483011.03
0.00	0.00	408.96	-58.71	-242052.83	408.96	225000.00	467.67	0.00	225000.00	0.8758	0.00	-211986.35	1910950.38	1685950.38	2015	0.8758	-242052.83	1910950.38	K273	1913517.00	1701530.65	1701530.65
0.00	0.00	676.23	-12.00	-49474.05	676.23	225000.00	688.24	0.00	225000.00	0.81	0.00	-40073.97	3012806.56	2787806.56	2015	0.81	-49474.05	3012806.56	K274	2523197.00	2483123.03	2483123.03
0.00	0.00	916.14	-22.48	-92671.27	916.14	225000.00	938.62	0.00	225000.00	0.891	0.00	-82571.41	4001812.75	3776812.75	2015	0.891	-92671.27	4001812.75	K276	3672765.00	3590193.59	3590193.59
0.00	0.00	556.95	10.01	41268.16	556.95	225000.00	546.94	0.00	225000.00	0.8819	0.00	36395.52	2521064.90	2296064.90	2015	0.8819	41268.16	2521064.90	K277	2213567.00	2249962.52	2249962.52
0.00	0.00	1372.26	-84.28	-347451.62	1372.26	225000.00	1456.54	0.00	225000.00	0.826	0.00	-286981.46	5882199.83	5657199.83	2015	0.826	-347451.62	5882199.83	K278	5184607.00	4897625.54	4897625.54
0.00	0.00	574.83	-66.46	-274000.52	574.83	225000.00	641.30	0.00	225000.00	0.9374	0.00	-256846.32	2594768.33	2369768.33	2015	0.9374	-274000.52	2594768.33	K279	2703252.00	2446405.68	2446405.68
0.00	0.00	1685.88	-47.58	-196133.30	1685.88	225000.00	1733.45	0.00	225000.00	0.81	0.00	-158867.98	7175105.75	6950105.75	2015	0.81	-196133.30	7175105.75	K281	6013454.00	5854586.02	5854586.02
0.00	0.00	1114.21	-16.66	-68687.85	1114.21	225000.00	1130.88	0.00	225000.00	0.9684	0.00	-66515.51	4818398.69	4593398.69	2015	0.9684	-68687.85	4818398.69	K282	4739642.00	4673126.49	4673126.49
0.00	0.00	842.98	4.62	19038.12	842.98	225000.00	838.36	0.00	225000.00	0.8711	0.00	16584.13	3700220.78	3475220.78	2015	0.8711	19038.12	3700220.78	K284	3235686.00	3252270.13	3252270.13
