label_g_teacher_salary_growth	label_g_teacher_salary_growth_2	total_column_o_projected_register	total_column_q_register_change	label_s_fair_student_funding_register_formula	weighted_register	calculation_j_foundation	total_column_n_fy14_actual_registers	system_wide_teacher_salary_growth	foundation	label_w_final_school_fsf_percent	label_h_foundation_for_new_schools	label_f_register_change_allocation_based_on_school_s_percent_of_formula	label_j_fy15_fair_student_formula_at_100	total_column_p_projected_formula	fiscal_year	label_t_change_to_preliminary_fair_student_funding_percentage_capped_at_100	total_column_r_register_dollar_change	calculation_j_fsf_formula_at_100	location	label_a_fy14_revised_based_allocations	label_d_initial_fair_student_funding_allocations_total	calculation_j_initial_fair_student_funding_allocations_total
0.00	0.00	5221.10	168.49	694624.92	5221.1	225000.00	5052.60	0.00	225000.00	0.8539	0.00	593120.65	21749214.69	21524214.69	2015	0.8539	694624.92	21749214.69	R455	18010800.00	18603920.65	18603920.65
0.00	0.00	4859.92	32.96	135878.10	4859.92	225000.00	4826.96	0.00	225000.00	0.8623	0.00	117172.15	20260239.62	20035239.62	2015	0.8623	135878.10	20260239.62	Q440	17384874.00	17502046.15	17502046.15
0.00	0.00	5306.78	-1.39	-5748.45	5306.78	225000.00	5308.18	0.00	225000.00	0.882	0.00	-5070.26	22102457.39	21877457.39	2015	0.882	-5748.45	22102457.39	Q430	19526469.00	19521398.74	19521398.74
0.00	0.00	2689.23	92.99	383350.22	2689.23	225000.00	2596.24	0.00	225000.00	0.8173	0.00	313324.72	11311462.68	11086462.68	2015	0.8173	383350.22	11311462.68	X455	8973005.00	9286329.72	9286329.72
0.00	0.00	6096.32	35.38	145848.82	6096.32	225000.00	6060.94	0.00	225000.00	0.8182	0.00	119335.13	25357358.44	25132358.44	2015	0.8182	145848.82	25357358.44	K490	20669240.00	20788575.13	20788575.13
0.00	0.00	4777.22	75.39	310816.04	4777.22	225000.00	4701.83	0.00	225000.00	0.8402	0.00	261152.27	19919326.54	19694326.54	2015	0.8402	310816.04	19919326.54	K445	16511315.00	16772467.27	16772467.27
0.00	0.00	3826.11	29.65	122222.31	3826.11	225000.00	3796.46	0.00	225000.00	0.9084	0.00	111021.29	15998294.03	15773294.03	2015	0.9084	122222.31	15998294.03	M485	14441736.00	14552757.29	14552757.29
0.00	0.00	556.34	19.67	81091.63	556.34	225000.00	536.67	0.00	225000.00	1.0033	0.00	81091.67	2518538.92	2293538.92	2015	1	81091.63	2518538.92	M432	2445094.00	2526185.67	2526185.67
0.00	0.00	3538.92	-156.43	-644891.28	3538.92	225000.00	3695.35	0.00	225000.00	0.81	0.00	-522361.95	14814348.20	14589348.20	2015	0.81	-644891.28	14814348.20	Q445	12564734.00	12042372.05	12042372.05
0.00	0.00	4562.47	-101.01	-416416.18	4562.47	225000.00	4663.48	0.00	225000.00	0.8253	0.00	-343687.30	19033996.82	18808996.82	2015	0.8253	-416416.18	19033996.82	K505	16092612.00	15748924.70	15748924.70
0.00	0.00	2536.28	55.06	226986.82	2536.28	225000.00	2481.22	0.00	225000.00	0.825	0.00	187253.34	10680935.51	10455935.51	2015	0.825	226986.82	10680935.51	Q016	8663397.00	8850650.34	8850650.34
0.00	0.00	3838.57	-357.20	-1472571.51	3838.57	225000.00	4195.77	0.00	225000.00	0.8134	0.00	-1197734.53	16049670.56	15824670.56	2015	0.8134	-1472571.51	16049670.56	Q480	14293929.00	13096194.47	13096194.47
0.00	0.00	3851.39	-49.67	-204769.12	3851.39	225000.00	3901.06	0.00	225000.00	0.8804	0.00	-180282.06	16102546.80	15877546.80	2015	0.8804	-204769.12	16102546.80	X445	14384132.00	14203849.94	14203849.94
