104 893.31 3907701.94 3682701.94	44139.78
111 2014.74 8530841.05 8305841.05	489891.39
111 2205.78 9318431.66 9093431.66	818382.67
117 3046.23 12783226.44 12558226.44	3799956.84
121 1255.41 5400493.16 5175493.16	56619.15
125 653.7 2919913.73 2694913.73	16647.62
126 644.91 2883675.70 2658675.70	29894.56
131 1114.73 4820541.47 4595541.47	96372.89
136 585.15 2637300.45 2412300.45	15134.25
138 1379.35 5911437.52 5686437.52	87062.62
140 932.69 4070053.10 3845053.10	67547.05
141 1240.1 5337375.55 5112375.55	94761.87
148 745.94 3300163.18 3075163.18	15852.54
150 880.03 3852980.34 3627980.34	35417.7
154 688.15 3061935.82 2836935.82	11369.82
16 438.2 2031503.98 1806503.98	14057.49
161 443.23 2052216.37 1827216.37	8969.14
164 913.17 3989580.53 3764580.53	33380.31
17 452.94 2092245.84 1867245.84	45351.97
171 1173.3 5061983.34 4836983.34	39334.31
174 476.06 2187568.77 1962568.77	15161.3
180 776.49 3426103.06 3201103.06	17522.16
181 2689.23 11311462.68 11086462.68	1382057.44
183 545.88 2475425.54 2250425.54	9140.71
187 476.19 2188118.34 1963118.34	14062.03
2 397.53 1863817.29 1638817.29	42883.92
20 1675.3 7131514.21 6906514.21	332383.17
20 788.98 3477600.51 3252600.51	63962.32
201 1223.88 5270508.92 5045508.92	93813.99
206 706.06 3135761.89 2910761.89	13424.13
207 1649.22 7023966.78 6798966.78	172382.33
227 468.57 2156704.60 1931704.60	38478.37
229 1149.41 4963513.42 4738513.42	95261.61
230 382.06 1800075.71 1575075.71	26763.34
234 903.25 3948689.16 3723689.16	46104.51
239 716.8 3180050.20 2955050.20	17447.89
247 838.85 3683190.15 3458190.15	19456.56
260 751.38 3322597.92 3097597.92	5059.95
263 299.34 1459049.23 1234049.23	21176.29
268 2669.55 11230347.07 11005347.07	907366.93
278 731.45 3240452.67 3015452.67	12067.32
280 807.06 3552158.10 3327158.10	35442.6
289 490.48 2247033.93 2022033.93	24442.48
292 589.37 2654713.94 2429713.94	15902.23
293 331.97 1593576.83 1368576.83	10418.27
302 571.22 2579871.53 2354871.53	11991.07
302 633.83 2837999.43 2612999.43	9513.49
309 671.7 2994120.76 2769120.76	19744.58
31 949.86 4140859.14 3915859.14	17715.06
32 538.96 2446904.29 2221904.29	16726.73
328 353.85 1683776.73 1458776.73	15358.85
332 648.15 2897043.48 2672043.48	18663.28
348 511.43 2333379.24 2108379.24	24502.45
363 558.22 2526291.31 2301291.31	8161.23
367 5306.78 22102457.39 21877457.39	6598873.76
369 4859.92 20260239.62 20035239.62	3142686.41
371 3154.39 13229115.39 13004115.39	1127590.64
373 336.61 1612701.45 1387701.45	27205.04
375 481.11 2208416.44 1983416.44	36024.29
381 471.82 2170087.96 1945087.96	34965.86
388 812.34 3573914.51 3348914.51	19136.64
39 770.57 3401708.31 3176708.31	26175.89
399 544.78 2470896.96 2245896.96	9058.26
401 980.62 4267638.26 4042638.26	19464.88
404 544.03 2467771.39 2242771.39	17999.14
405 727.46 3224003.48 2999003.48	10321.1
41 1504.18 6426059.13 6201059.13	469325.73
412 1212.51 5223607.61 4998607.61	65406.31
417 686.81 3056400.89 2831400.89	7642.69
425 783.11 3453424.35 3228424.35	18586.98
426 1156.51 4992771.21 4767771.21	58522.68
428 177.54 956913.11 731913.11	36610.38
430 181.98 975216.08 750216.08	36610.38
430 293.48 1434878.77 1209878.77	9103.44
446 463.53 2135940.41 1910940.41	21915.93
446 758.58 3352291.34 3127291.34	16614.05
448 1593.82 6795589.60 6570589.60	122882.4
448 455.34 2102169.70 1877169.70	17726.33
449 837.29 3676769.82 3451769.82	19600.46
452 766.49 3384899.46 3159899.46	33621.78
454 957.17 4170978.73 3945978.73	41752.98
