year	borough	num_level_1	num_level_3	demographic	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	grade	pct_level_1	num_level_3_and_4
2008	MANHATTAN	513	4199	Not SWD	8335	2444	64.5	663	1179	14.1	50.4	29.3	8	6.2	5378
2008	MANHATTAN	488	347	SWD	1539	678	24.2	627	26	1.7	22.5	44.1	8	31.7	373
2009	MANHATTAN	160	4719	Not SWD	7879	1586	77.8	674	1414	17.9	59.9	20.1	8	2	6133
2009	MANHATTAN	272	562	SWD	1525	660	38.9	640	31	2	36.9	43.3	8	17.8	593
2010	MANHATTAN	581	2634	Not SWD	7705	2878	55.1	680	1612	20.9	34.2	37.4	8	7.5	4246
2010	MANHATTAN	576	242	SWD	1618	758	17.6	646	42	2.6	15	46.8	8	35.6	284
2011	MANHATTAN	491	2933	Not SWD	7480	2307	62.6	682	1749	23.4	39.2	30.8	8	6.6	4682
2011	MANHATTAN	481	323	SWD	1582	743	22.6	646	35	2.2	20.4	47	8	30.4	358
2012	MANHATTAN	315	2917	Not SWD	7260	2282	64.2	684	1746	24	40.2	31.4	8	4.3	4663
2012	MANHATTAN	427	356	SWD	1593	745	26.4	654	65	4.1	22.3	46.8	8	26.8	421
2006	MANHATTAN	5684	22549	Not SWD	50766	14038	61.2	661	8495	16.7	44.4	27.7	All Grades	11.2	31044
2006	MANHATTAN	3481	2373	SWD	9254	3079	29.1	626	321	3.5	25.6	33.3	All Grades	37.6	2694
2007	MANHATTAN	3354	23314	Not SWD	48387	11599	69.1	669	10120	20.9	48.2	24	All Grades	6.9	33434
2007	MANHATTAN	2760	2818	SWD	9179	3220	34.9	634	381	4.2	30.7	35.1	All Grades	30.1	3199
2008	MANHATTAN	1584	24886	Not SWD	45767	7907	79.3	677	11390	24.9	54.4	17.3	All Grades	3.5	36276
2008	MANHATTAN	1961	3784	SWD	9600	3353	44.6	643	502	5.2	39.4	34.9	All Grades	20.4	4286
2009	MANHATTAN	639	24831	Not SWD	44441	5010	87.3	686	13961	31.4	55.9	11.3	All Grades	1.4	38792
2009	MANHATTAN	1198	4695	SWD	9673	3067	55.9	653	713	7.4	48.5	31.7	All Grades	12.4	5408
2010	MANHATTAN	2728	14829	Not SWD	43880	13876	62.2	687	12447	28.4	33.8	31.6	All Grades	6.2	27276
2010	MANHATTAN	2838	1928	SWD	9726	4353	26.1	656	607	6.2	19.8	44.8	All Grades	29.2	2535
2011	MANHATTAN	2417	16011	Not SWD	43161	12091	66.4	688	12642	29.3	37.1	28	All Grades	5.6	28653
2011	MANHATTAN	2464	2329	SWD	9699	4250	30.8	659	656	6.8	24	43.8	All Grades	25.4	2985
2012	MANHATTAN	2258	15858	Not SWD	42683	11047	68.8	690	13520	31.7	37.2	25.9	All Grades	5.3	29378
2012	MANHATTAN	2582	2428	SWD	9997	4177	32.4	660	810	8.1	24.3	41.8	All Grades	25.8	3238
2006	QUEENS	544	8555	Not SWD	16690	1589	87.2	689	6002	36	51.3	9.5	3	3.3	14557
2006	QUEENS	512	1164	SWD	2474	560	56.7	653	238	9.6	47	22.6	3	20.7	1402
2007	QUEENS	279	8276	Not SWD	16486	1062	91.9	697	6869	41.7	50.2	6.4	3	1.7	15145
2007	QUEENS	400	1439	SWD	2835	668	62.3	660	328	11.6	50.8	23.6	3	14.1	1767
2008	QUEENS	135	10038	Not SWD	16336	777	94.4	696	5386	33	61.4	4.8	3	0.8	15424
2008	QUEENS	245	1758	SWD	2819	535	72.3	666	281	10	62.4	19	3	8.7	2039
2009	QUEENS	68	10702	Not SWD	17134	544	96.4	700	5820	34	62.5	3.2	3	0.4	16522
2009	QUEENS	111	1983	SWD	2904	527	78	671	283	9.7	68.3	18.1	3	3.8	2266
2010	QUEENS	919	6149	Not SWD	17023	4837	66.2	699	5118	30.1	36.1	28.4	3	5.4	11267
2010	QUEENS	770	692	SWD	3060	1301	32.3	676	297	9.7	22.6	42.5	3	25.2	989
2011	QUEENS	914	8704	Not SWD	17560	4960	66.5	690	2982	17	49.6	28.2	3	5.2	11686
2011	QUEENS	668	965	SWD	3182	1399	35	676	150	4.7	30.3	44	3	21	1115
2012	QUEENS	809	9239	Not SWD	17708	4434	70.4	693	3226	18.2	52.2	25	3	4.6	12465
2012	QUEENS	700	1030	SWD	3235	1371	36	676	134	4.1	31.8	42.4	3	21.6	1164
2006	QUEENS	587	8649	Not SWD	16702	2058	84.2	685	5408	32.4	51.8	12.3	4	3.5	14057
2006	QUEENS	645	1043	SWD	2557	686	47.9	644	183	7.2	40.8	26.8	4	25.2	1226
2007	QUEENS	423	8218	Not SWD	16172	1695	86.9	691	5836	36.1	50.8	10.5	4	2.6	14054
2007	QUEENS	608	1259	SWD	2896	792	51.7	649	237	8.2	43.5	27.3	4	21	1496
2008	QUEENS	298	8405	Not SWD	16125	1244	90.4	693	6178	38.3	52.1	7.7	4	1.8	14583
2008	QUEENS	554	1520	SWD	3149	803	56.9	654	272	8.6	48.3	25.5	4	17.6	1792
2009	QUEENS	191	7568	Not SWD	16097	866	93.4	702	7472	46.4	47	5.4	4	1.2	15040
2009	QUEENS	402	1654	SWD	3097	594	67.8	664	447	14.4	53.4	19.2	4	13	2101
2010	QUEENS	483	6393	Not SWD	17186	4414	71.5	696	5896	34.3	37.2	25.7	4	2.8	12289
2010	QUEENS	569	834	SWD	3207	1549	34	663	255	8	26	48.3	4	17.7	1089
2011	QUEENS	374	6821	Not SWD	16962	3655	76.2	697	6112	36	40.2	21.5	4	2.2	12933
2011	QUEENS	510	970	SWD	3280	1475	39.5	667	325	9.9	29.6	45	4	15.5	1295
